ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11366787,JB331872,07-02-2018 11:04,039XX W 47TH ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,TRUE,FALSE,821,8,14,57,3,1150664,1873176,2018,07-09-2018 16:19,41.80788867,-87.72292952,"(41.807888669, -87.722929523)"
11366796,JB331848,07-02-2018 11:17,0000X N LECLAIRE AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1142387,1899674,2018,07-09-2018 16:19,41.88076025,-87.75263074,"(41.880760246, -87.752630735)"
11366801,JB331775,07-02-2018 10:50,052XX W MADISON ST,860,THEFT,RETAIL THEFT,OTHER,TRUE,FALSE,1522,15,28,25,6,1141512,1899523,2018,07-09-2018 16:19,41.88036208,-87.75584744,"(41.880362084, -87.755847438)"
11366804,JB331926,07-02-2018 12:13,061XX S ST LAWRENCE AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,TRUE,FALSE,313,3,20,42,18,1181288,1864531,2018,07-09-2018 16:19,41.78351427,-87.61087562,"(41.783514269, -87.610875615)"
11366809,JB331918,07-02-2018 11:40,075XX S EXCHANGE AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,RESIDENCE,TRUE,FALSE,421,4,7,43,24,1195185,1855723,2018,07-09-2018 16:19,41.75901281,-87.56021562,"(41.759012808, -87.560215615)"
11366830,JB331869,07-02-2018 11:31,040XX N RICHMOND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,TRUE,TRUE,1724,17,33,16,08B,1155998,1926650,2018,07-09-2018 16:19,41.95452098,-87.70192265,"(41.95452098, -87.701922646)"
11366833,JB331822,07-02-2018 11:00,001XX S CENTRAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,FALSE,1522,15,29,25,08B,1139073,1898968,2018,07-09-2018 16:19,41.87888378,-87.76481682,"(41.878883778, -87.764816824)"
11366838,JB331950,07-02-2018 12:00,036XX W DIVISION ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE,FALSE,1112,11,27,23,18,1151666,1907748,2018,07-09-2018 16:19,41.90273878,-87.71834622,"(41.902738782, -87.718346215)"
11366851,JB331959,07-02-2018 10:43,028XX S PULASKI RD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,GAS STATION,TRUE,FALSE,1031,10,22,30,24,1150170,1884913,2018,07-09-2018 16:19,41.84010623,-87.72443632,"(41.840106225, -87.724436322)"
11366852,JB331983,07-02-2018 12:54,017XX W 79TH ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,TRUE,FALSE,611,6,21,71,24,1166302,1852315,2018,07-09-2018 16:19,41.75032432,-87.66616681,"(41.750324322, -87.666166809)"
